"year","unitid","inst_name","state_name","years_since_entering_repay","repay_rate_female","repay_rate_male"
"2016","104151","Arizona State University-Tempe","Arizona","3","0.575553","0.595843"
"2016","104151","Arizona State University-Tempe","Arizona","5","0.627352","0.626415"
"2016","104151","Arizona State University-Tempe","Arizona","7","0.67422","0.678803"
"2016","104179","University of Arizona","Arizona","3","0.653325","0.659635"
"2016","104179","University of Arizona","Arizona","5","0.71717","0.714648"
"2016","104179","University of Arizona","Arizona","7","0.759536","0.748691"
"2016","110662","University of California-Los Angeles","California","3","0.797831","0.770476"
"2016","110662","University of California-Los Angeles","California","5","0.818653","0.797318"
"2016","110662","University of California-Los Angeles","California","7","0.850165","0.824228"
"2016","123961","University of Southern California","California","3","0.81594","0.786775"
"2016","123961","University of Southern California","California","5","0.847556","0.849929"
"2016","123961","University of Southern California","California","7","0.868996","0.878242"
"2016","126614","University of Colorado Boulder","Colorado","3","0.732749","0.742065"
"2016","126614","University of Colorado Boulder","Colorado","5","0.766219","0.777372"
"2016","126614","University of Colorado Boulder","Colorado","7","0.81382","0.799012"
"2016","230764","University of Utah","Utah","3","0.711018","0.7243"
"2016","230764","University of Utah","Utah","5","0.768078","0.770679"
"2016","230764","University of Utah","Utah","7","0.819929","0.838046"
"2015","104151","Arizona State University-Tempe","Arizona","3","0.568643","0.579285"
"2015","104151","Arizona State University-Tempe","Arizona","5","0.63348","0.643237"
"2015","104151","Arizona State University-Tempe","Arizona","7","0.687927","0.689103"
"2015","104179","University of Arizona","Arizona","3","0.67159","0.670921"
"2015","104179","University of Arizona","Arizona","5","0.717682","0.714571"
"2015","104179","University of Arizona","Arizona","7","0.759703","0.763158"
"2015","110662","University of California-Los Angeles","California","3","0.791004","0.775559"
"2015","110662","University of California-Los Angeles","California","5","0.822468","0.798195"
"2015","110662","University of California-Los Angeles","California","7","0.849483","0.817424"
"2015","123961","University of Southern California","California","3","0.816262","0.803666"
"2015","123961","University of Southern California","California","5","0.854663","0.855626"
"2015","123961","University of Southern California","California","7","0.874208","0.873438"
"2015","126614","University of Colorado Boulder","Colorado","3","0.728432","0.738162"
"2015","126614","University of Colorado Boulder","Colorado","5","0.766925","0.76994"
"2015","126614","University of Colorado Boulder","Colorado","7","0.848528","0.807"
"2015","230764","University of Utah","Utah","3","0.714543","0.73371"
"2015","230764","University of Utah","Utah","5","0.78884","0.783104"
"2015","230764","University of Utah","Utah","7","0.823916","0.841984"
"2014","104151","Arizona State University-Tempe","Arizona","1","0.525776","0.547322"
"2014","104151","Arizona State University-Tempe","Arizona","3","0.572967","0.577309"
"2014","104151","Arizona State University-Tempe","Arizona","5","0.632529","0.643594"
"2014","104151","Arizona State University-Tempe","Arizona","7","0.715672","0.710282"
"2014","104179","University of Arizona","Arizona","1","0.605727","0.615848"
"2014","104179","University of Arizona","Arizona","3","0.669955","0.666579"
"2014","104179","University of Arizona","Arizona","5","0.728741","0.722151"
"2014","104179","University of Arizona","Arizona","7","0.794536","0.799869"
"2014","110662","University of California-Los Angeles","California","1","0.76347","0.737364"
"2014","110662","University of California-Los Angeles","California","3","0.789341","0.756838"
"2014","110662","University of California-Los Angeles","California","5","0.819822","0.797969"
"2014","110662","University of California-Los Angeles","California","7","0.868623","0.83429"
"2014","123961","University of Southern California","California","1","0.776606","0.739412"
"2014","123961","University of Southern California","California","3","0.804539","0.814237"
"2014","123961","University of Southern California","California","5","0.834826","0.852371"
"2014","123961","University of Southern California","California","7","0.898842","0.896254"
"2014","126614","University of Colorado Boulder","Colorado","1","0.679779","0.691422"
"2014","126614","University of Colorado Boulder","Colorado","3","0.719542","0.725088"
"2014","126614","University of Colorado Boulder","Colorado","5","0.783621","0.762712"
"2014","126614","University of Colorado Boulder","Colorado","7","0.849299","0.820503"
"2014","230764","University of Utah","Utah","1","0.652603","0.674175"
"2014","230764","University of Utah","Utah","3","0.715343","0.729265"
"2014","230764","University of Utah","Utah","5","0.78892","0.803131"
"2014","230764","University of Utah","Utah","7","0.848347","0.85756"
"2013","104151","Arizona State University-Tempe","Arizona","1","0.513246","0.515786"
"2013","104151","Arizona State University-Tempe","Arizona","3","0.581616","0.593481"
"2013","104151","Arizona State University-Tempe","Arizona","5","0.647472","0.654913"
"2013","104151","Arizona State University-Tempe","Arizona","7","0.769192","0.754512"
"2013","104179","University of Arizona","Arizona","1","0.617687","0.621423"
"2013","104179","University of Arizona","Arizona","3","0.667101","0.665576"
"2013","104179","University of Arizona","Arizona","5","0.729244","0.739972"
"2013","104179","University of Arizona","Arizona","7","0.84764","0.840844"
"2013","110662","University of California-Los Angeles","California","1","0.744369","0.730514"
"2013","110662","University of California-Los Angeles","California","3","0.779954","0.742024"
"2013","110662","University of California-Los Angeles","California","5","0.821166","0.787915"
"2013","110662","University of California-Los Angeles","California","7","0.899913","0.869153"
"2013","123961","University of Southern California","California","1","0.769195","0.749258"
"2013","123961","University of Southern California","California","3","0.808269","0.818733"
"2013","123961","University of Southern California","California","5","0.848592","0.847973"
"2013","123961","University of Southern California","California","7","0.924154","0.900498"
"2013","126614","University of Colorado Boulder","Colorado","1","0.656152","0.673134"
"2013","126614","University of Colorado Boulder","Colorado","3","0.712068","0.712901"
"2013","126614","University of Colorado Boulder","Colorado","5","0.806234","0.77188"
"2013","126614","University of Colorado Boulder","Colorado","7","0.872464","0.856682"
"2013","230764","University of Utah","Utah","1","0.646183","0.670886"
"2013","230764","University of Utah","Utah","3","0.731102","0.735137"
"2013","230764","University of Utah","Utah","5","0.796926","0.810516"
"2013","230764","University of Utah","Utah","7","0.887951","0.886034"
"2012","104151","Arizona State University","Arizona","1","0.520694","0.5164"
"2012","104151","Arizona State University","Arizona","3","0.595793","0.597849"
"2012","104151","Arizona State University","Arizona","5","0.689546","0.686173"
"2012","104179","University of Arizona","Arizona","1","0.620223","0.608345"
"2012","104179","University of Arizona","Arizona","3","0.679725","0.674707"
"2012","104179","University of Arizona","Arizona","5","0.771696","0.785303"
"2012","110662","University of California-Los Angeles","California","1","0.739968","0.71708"
"2012","110662","University of California-Los Angeles","California","3","0.783875","0.742526"
"2012","110662","University of California-Los Angeles","California","5","0.85652","0.817633"
"2012","123961","University of Southern California","California","1","0.763566","0.770426"
"2012","123961","University of Southern California","California","3","0.81008","0.814961"
"2012","123961","University of Southern California","California","5","0.894271","0.884453"
"2012","126614","University of Colorado Boulder","Colorado","1","0.653117","0.67337"
"2012","126614","University of Colorado Boulder","Colorado","3","0.739847","0.720508"
"2012","126614","University of Colorado Boulder","Colorado","5","0.815522","0.79399"
"2012","230764","University of Utah","Utah","1","0.659725","0.678456"
"2012","230764","University of Utah","Utah","3","0.732037","0.765383"
"2012","230764","University of Utah","Utah","5","0.827053","0.836568"
"2011","104151","Arizona State University","Arizona","1","0.543009","0.546592"
"2011","104151","Arizona State University","Arizona","3","0.624744","0.621265"
"2011","104151","Arizona State University","Arizona","5","0.760158","0.739427"
"2011","104179","University of Arizona","Arizona","1","0.622761","0.622864"
"2011","104179","University of Arizona","Arizona","3","0.696924","0.704772"
"2011","104179","University of Arizona","Arizona","5","0.834335","0.82637"
"2011","110662","University of California-Los Angeles","California","1","0.735833","0.7012"
"2011","110662","University of California-Los Angeles","California","3","0.785424","0.751302"
"2011","110662","University of California-Los Angeles","California","5","0.88961","0.863031"
"2011","123961","University of Southern California","California","1","0.778568","0.773893"
"2011","123961","University of Southern California","California","3","0.837438","0.813529"
"2011","123961","University of Southern California","California","5","0.917758","0.895932"
"2011","126614","University of Colorado Boulder","Colorado","1","0.664185","0.688931"
"2011","126614","University of Colorado Boulder","Colorado","3","0.790717","0.748469"
"2011","126614","University of Colorado Boulder","Colorado","5","0.861975","0.835579"
"2011","230764","University of Utah","Utah","1","0.696308","0.697368"
"2011","230764","University of Utah","Utah","3","0.758127","0.7891"
"2011","230764","University of Utah","Utah","5","0.873636","0.87914"
"2010","104151","Arizona State University","Arizona","1","0.5625","0.569653"
"2010","104151","Arizona State University","Arizona","3","0.669392","0.668196"
"2010","104179","University of Arizona","Arizona","1","0.636503","0.626152"
"2010","104179","University of Arizona","Arizona","3","0.752963","0.755967"
"2010","110662","University of California-Los Angeles","California","1","0.741248","0.702601"
"2010","110662","University of California-Los Angeles","California","3","0.829317","0.810018"
"2010","123961","University of Southern California","California","1","0.774854","0.771951"
"2010","123961","University of Southern California","California","3","0.881921","0.860289"
"2010","126614","University of Colorado Boulder","Colorado","1","0.716397","0.705456"
"2010","126614","University of Colorado Boulder","Colorado","3","0.813066","0.773102"
"2010","230764","University of Utah","Utah","1","0.707159","0.720154"
"2010","230764","University of Utah","Utah","3","0.793603","0.813685"
"2009","104151","Arizona State University","Arizona","1","0.590596","0.604284"
"2009","104151","Arizona State University","Arizona","3","0.742532","0.728367"
"2009","104179","University of Arizona","Arizona","1","0.657678","0.659557"
"2009","104179","University of Arizona","Arizona","3","0.823296","0.804795"
"2009","110662","University of California-Los Angeles","California","1","0.763457","0.722642"
"2009","110662","University of California-Los Angeles","California","3","0.884027","0.857922"
"2009","123961","University of Southern California","California","1","0.803874","0.787427"
"2009","123961","University of Southern California","California","3","0.910738","0.890452"
"2009","126614","University of Colorado at Boulder","Colorado","1","0.764594","0.737315"
"2009","126614","University of Colorado at Boulder","Colorado","3","0.839896","0.820697"
"2009","230764","University of Utah","Utah","1","0.733551","0.746275"
"2009","230764","University of Utah","Utah","3","0.846762","0.864249"
"2008","104151","Arizona State University","Arizona","1","0.631515","0.639577"
"2008","104179","University of Arizona","Arizona","1","0.722804","0.737773"
"2008","110662","University of California-Los Angeles","California","1","0.81201","0.793698"
"2008","123961","University of Southern California","California","1","0.856205","0.846995"
"2008","126614","University of Colorado at Boulder","Colorado","1","0.777495","0.748042"
"2008","230764","University of Utah","Utah","1","0.775672","0.792534"
"2007","104151","Arizona State University at the Tempe Campus","Arizona","1","0.715647","0.698083"
"2007","104179","University of Arizona","Arizona","1","0.79313","0.78396"
"2007","110662","University of California-Los Angeles","California","1","0.879453","0.848135"
"2007","123961","University of Southern California","California","1","0.899104","0.885806"
"2007","126614","University of Colorado at Boulder","Colorado","1","0.799153","0.779668"
"2007","230764","University of Utah","Utah","1","0.834141","0.84427"
